Size, Moves, Time(ns)
101, 2600, 633295
201, 10200, 500780
301, 22800, 864819
401, 40400, 1326660
501, 63000, 914927
601, 90600, 951753
701, 123200, 1124113
801, 160800, 1200785
901, 203400, 1512603
1001, 251000, 1896565
1101, 303600, 1926750
1201, 361200, 1549429
1301, 423800, 1791519
1401, 491400, 2064095
1501, 564000, 2305278
1601, 641600, 2111487
1701, 724200, 2404589
1801, 811800, 2661771
1901, 904400, 2953667
2001, 1002000, 3277860
2101, 1104600, 3607789
2201, 1212200, 3958547
2301, 1324800, 4398351
2401, 1442400, 4763296
2501, 1565000, 5169595
2601, 1692600, 5546010
2701, 1825200, 5959554
2801, 1962800, 6366456
2901, 2105400, 6859992
3001, 2253000, 7337830
3101, 2405600, 7770391
3201, 2563200, 8253060
3301, 2725800, 8701920
3401, 2893400, 9473163
3501, 3066000, 10117627
3601, 3243600, 10631388
3701, 3426200, 10964335
3801, 3613800, 11874734
3901, 3806400, 12352272
4001, 4004000, 12682503
4101, 4206600, 14062289
4201, 4414200, 14436892
4301, 4626800, 14942502
4401, 4844400, 15453244
4501, 5067000, 16791373
4601, 5294600, 17206729
4701, 5527200, 18085131
4801, 5764800, 18836452
4901, 6007400, 19476388
5001, 6255000, 20692265
5101, 6507600, 21003781
5201, 6765200, 21484639
5301, 7027800, 23180167
5401, 7295400, 23340755
5501, 7568000, 24729597
5601, 7845600, 25400624
5701, 8128200, 26140777
5801, 8415800, 26933149
5901, 8708400, 28357912
6001, 9006000, 28620528
6101, 9308600, 29922133
6201, 9616200, 32465275
6301, 9928800, 31749271
6401, 10246400, 33660626
6501, 10569000, 34245926
6601, 10896600, 35097162
6701, 11229200, 36167243
6801, 11566800, 37550350
6901, 11909400, 38982357
7001, 12257000, 39710435
7101, 12609600, 40772668
7201, 12967200, 42028995
7301, 13329800, 43191746
7401, 13697400, 44281147
7501, 14070000, 45884307
7601, 14447600, 46611177
7701, 14830200, 47629641
7801, 15217800, 49045349
7901, 15610400, 50374121
8001, 16008000, 51404055
8101, 16410600, 53847282
8201, 16818200, 54512876
8301, 17230800, 56189991
8401, 17648400, 57514538
8501, 18071000, 57891254
8601, 18498600, 59067287
8701, 18931200, 60316672
8801, 19368800, 62709489
8901, 19811400, 63899709
9001, 20259000, 65631762
9101, 20711600, 65434649
9201, 21169200, 69200913
9301, 21631800, 68890001
9401, 22099400, 70554740
9501, 22572000, 73930401
9601, 23049600, 73391285
9701, 23532200, 76402305
9801, 24019800, 77002396
9901, 24512400, 78736561
10001, 25010000, 81173751
